variable_name,default_value,description,device,VDOM,mapped_value
EA_VID,,,NM24-V2-C1-HK-FW,,2
EA_VID,,,NM24-V1-C1-HK-FW,,1
EA_VID,,,NM24-V2-C1-PK-FW,,2
EA_VID,,,NM24-V1-C1-PK-FW,,1
EA_VID,,,NM24-V3-C1-PK-FW,,3
EA_VID,,,NM24-V3-C1-HK-FW,,3
EA_VID,,,NM24-V4-C1-PK-FW,,4
EA_VID,,,NM24-V4-C1-HK-FW,,4
EA_VID,,,NM24-V5-C1-PK-FW,,5
EA_VID,,,NM24-V5-C1-HK-FW,,5
EA_VID,,,NM24-V6-C1-PK-FW,,6
EA_VID,,,NM24-V6-C1-HK-FW,,6
EA_VID,,,NM24-V7-C1-PK-FW,,7
EA_VID,,,NM24-V7-C1-HK-FW,,7
EA_VID,,,NM24-V8-C1-PK-FW,,8
EA_VID,,,NM24-V8-C1-HK-FW,,8
EA_VID,,,NM24-V9-C1-PK-FW,,9
EA_VID,,,NM24-V9-C1-HK-FW,,9
RID,,,NM24-RTR,,10.24.24.1
RID,,,NM24-RTR-HK-USR,,10.24.24.14
RID,,,NM24-RTR-PK-USR,,10.24.24.12
RID,,,NM24-RTR-HK-SVC,,10.24.24.13
RID,,,NM24-RTR-PK-SVC,,10.24.24.11
SiteID,,,NM24-V2-C1-HK-FW,,2
SiteID,,,NM24-V1-C1-HK-FW,,2
SiteID,,,NM24-V2-C1-PK-FW,,1
SiteID,,,NM24-V1-C1-PK-FW,,1
SiteID,,,NM24-V3-C1-PK-FW,,1
SiteID,,,NM24-V3-C1-HK-FW,,2
SiteID,,,NM24-V4-C1-PK-FW,,1
SiteID,,,NM24-V4-C1-HK-FW,,2
SiteID,,,NM24-V5-C1-PK-FW,,1
SiteID,,,NM24-V5-C1-HK-FW,,2
SiteID,,,NM24-V6-C1-PK-FW,,1
SiteID,,,NM24-V6-C1-HK-FW,,2
SiteID,,,NM24-V7-C1-PK-FW,,1
SiteID,,,NM24-V7-C1-HK-FW,,2
SiteID,,,NM24-V8-C1-PK-FW,,1
SiteID,,,NM24-V8-C1-HK-FW,,2
SiteID,,,NM24-V9-C1-PK-FW,,1
SiteID,,,NM24-V9-C1-HK-FW,,2
SiteName,,,NM24-V2-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V1-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V2-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V1-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V3-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V3-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V4-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V4-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V5-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V5-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V6-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V6-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V7-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V7-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V8-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V8-C1-HK-FW,,HARUKONTOR
SiteName,,,NM24-V9-C1-PK-FW,,PEAKONTOR
SiteName,,,NM24-V9-C1-HK-FW,,HARUKONTOR
RemoteID,,,NM24-V2-C1-HK-FW,,1
RemoteID,,,NM24-V1-C1-HK-FW,,1
RemoteID,,,NM24-V2-C1-PK-FW,,2
RemoteID,,,NM24-V1-C1-PK-FW,,2
RemoteID,,,NM24-V3-C1-PK-FW,,2
RemoteID,,,NM24-V3-C1-HK-FW,,1
RemoteID,,,NM24-V4-C1-PK-FW,,2
RemoteID,,,NM24-V4-C1-HK-FW,,1
RemoteID,,,NM24-V5-C1-PK-FW,,2
RemoteID,,,NM24-V5-C1-HK-FW,,1
RemoteID,,,NM24-V6-C1-PK-FW,,2
RemoteID,,,NM24-V6-C1-HK-FW,,1
RemoteID,,,NM24-V7-C1-PK-FW,,2
RemoteID,,,NM24-V7-C1-HK-FW,,1
RemoteID,,,NM24-V8-C1-PK-FW,,2
RemoteID,,,NM24-V8-C1-HK-FW,,1
RemoteID,,,NM24-V9-C1-PK-FW,,2
RemoteID,,,NM24-V9-C1-HK-FW,,11
